exp-17 — linger x batch size x codec under a fixed load
date: 2026-09-22-015105
client: franz-go v1.22.0
offered: 20000 records/s for 10s per cell, acks=all, 6 partitions, RF 3
payload: generated payment JSON, seeded, identical for every cell

  linger    batch   codec  offered/s   drain  failed     p50     p99  rec/batch  bytes/rec  wire ratio
      0s    16KiB    none      19998   1.9ms       0   2.1ms  30.3ms        6.0        250        1.00
      0s    16KiB  snappy      19979     2ms       0   2.1ms    26ms        6.6        109        2.29
      0s    16KiB     lz4      19959   3.6ms       0   2.1ms  14.7ms        5.2        117        2.14
      0s    16KiB    zstd      19927   2.7ms       0   2.3ms  13.3ms        7.1         72        3.46
      0s  default    none      19958   2.4ms       0   2.4ms  34.2ms        6.1        250        1.00
      0s  default  snappy      19957   2.4ms       0     2ms  10.1ms        6.1        111        2.25
      0s  default     lz4      19969   4.7ms       0     2ms  10.8ms        6.5        110        2.28
      0s  default    zstd      19969     5ms       0   2.3ms  26.5ms        7.8         70        3.57
     5ms    16KiB    none      19968   2.2ms       0   6.9ms  13.4ms       22.6        250        1.00
     5ms    16KiB  snappy      19889   1.7ms       0   6.7ms  15.6ms       22.5         88        2.83
     5ms    16KiB     lz4      19808   2.7ms       0   6.8ms  16.8ms       22.8         86        2.91
     5ms    16KiB    zstd      19734   2.8ms       0   7.3ms  15.5ms       23.3         52        4.77
     5ms  default    none      19859   1.9ms       0   6.9ms  15.2ms       22.7        250        1.00
     5ms  default  snappy      19878   2.6ms       0   6.7ms  15.4ms       22.3         88        2.83
     5ms  default     lz4      19738   2.8ms       0   6.8ms  15.9ms       23.1         86        2.92
     5ms  default    zstd      19709   2.2ms       0   7.1ms  15.8ms       23.2         52        4.76
    10ms    16KiB    none      19848   3.1ms       0     9ms  19.8ms       36.3        250        1.00
    10ms    16KiB  snappy      19889   4.1ms       0   9.2ms    21ms       36.3         84        2.96
    10ms    16KiB     lz4      19747   5.7ms       0   9.6ms  23.2ms       36.2         81        3.07
    10ms    16KiB    zstd      19617   4.1ms       0  10.2ms  23.4ms       36.6         48        5.17
    10ms  default    none      19869   1.7ms       0   8.9ms  22.6ms       36.1        250        1.00
    10ms  default  snappy      19818   4.8ms       0   9.3ms  19.9ms       36.7         84        2.97
    10ms  default     lz4      19770   3.1ms       0   9.7ms  22.4ms       36.8         81        3.08
    10ms  default    zstd      19819   1.4ms       0   9.4ms  21.1ms       36.4         48        5.17
    50ms    16KiB    none      19789   3.8ms       0  11.9ms    28ms       39.5        250        1.00
    50ms    16KiB  snappy      19838   4.1ms       0  11.9ms  26.9ms       40.1         84        2.99
    50ms    16KiB     lz4      19869   3.3ms       0  11.9ms  26.4ms       40.2         80        3.12
    50ms    16KiB    zstd      19990   1.5ms       0    12ms  24.9ms       39.4         48        5.23
    50ms  default    none      19718   9.9ms       0  33.1ms  64.2ms      145.4        251        1.00
    50ms  default  snappy      19897  10.6ms       0  30.8ms    61ms      146.5         76        3.28
    50ms  default     lz4      19748   8.3ms       0  33.5ms  65.1ms      150.9         74        3.40
    50ms  default    zstd      19479   7.6ms       0  36.6ms    68ms      151.0         44        5.65
