exp-17 — linger x batch size x codec under a fixed load
date: 2026-09-21-191906
client: franz-go v1.22.0
offered: 20000 records/s for 10s per cell, acks=all, 6 partitions, RF 3
payload: generated payment JSON, seeded, identical for every cell

  linger    batch   codec  offered/s  acked/s     p50     p99  rec/batch  bytes/rec  wire ratio
      0s    16KiB    none      19976    19976   2.4ms  24.4ms        5.0        250        1.00
      0s    16KiB  snappy      19993    19993   2.4ms  30.4ms        5.2        117        2.14
      0s    16KiB     lz4      19992    19992   2.1ms  12.9ms        4.9        120        2.09
      0s    16KiB    zstd      19992    19992   2.7ms  12.7ms        4.8         85        2.94
      0s  default    none      19913    19913   2.5ms  30.4ms        5.0        250        1.00
      0s  default  snappy      19991    19991   2.1ms  13.9ms        4.9        119        2.10
      0s  default     lz4      19994    19994   2.3ms  10.6ms        4.6        122        2.06
      0s  default    zstd      19990    19990   2.4ms  30.5ms        5.5         80        3.13
     5ms    16KiB    none      19993    19993   6.9ms  15.5ms       22.7        250        1.00
     5ms    16KiB  snappy      19986    19986   6.8ms  12.9ms       22.5         88        2.83
     5ms    16KiB     lz4      19983    19983   6.7ms    12ms       21.8         86        2.90
     5ms    16KiB    zstd      19990    19990   6.9ms  12.5ms       22.5         53        4.74
     5ms  default    none      19975    19975   6.9ms  12.8ms       22.3        250        1.00
     5ms  default  snappy      19995    19995   6.6ms  11.3ms       22.0         88        2.83
     5ms  default     lz4      19995    19995   6.7ms  12.5ms       22.3         86        2.90
     5ms  default    zstd      19989    19989   6.9ms  11.2ms       22.4         53        4.73
    10ms    16KiB    none      19960    19960   8.4ms  16.9ms       33.8        250        1.00
    10ms    16KiB  snappy      19994    19994   8.3ms  19.6ms       33.9         85        2.95
    10ms    16KiB     lz4      19991    19991   8.7ms  17.6ms       33.6         82        3.05
    10ms    16KiB    zstd      19916    19916   8.6ms    21ms       34.2         49        5.12
    10ms  default    none      19931    19931   8.1ms  18.6ms       33.3        250        1.00
    10ms  default  snappy      19984    19984   8.4ms  16.9ms       34.3         85        2.95
    10ms  default     lz4      19968    19968   8.9ms  18.9ms       34.5         82        3.06
    10ms  default    zstd      19870    19870     9ms  23.8ms       34.9         49        5.14
    50ms    16KiB    none      19932    19932  11.9ms  31.4ms       39.5        250        1.00
    50ms    16KiB  snappy      19960    19960  11.8ms    25ms       39.3         84        2.99
    50ms    16KiB     lz4      19976    19976  11.7ms  23.6ms       39.4         80        3.12
    50ms    16KiB    zstd      19980    19980    12ms  24.6ms       39.4         48        5.23
    50ms  default    none      19981    19981  32.5ms  60.9ms      144.5        251        1.00
    50ms  default  snappy      19919    19919  31.1ms  59.2ms      143.7         76        3.28
    50ms  default     lz4      19918    19918  31.8ms  60.4ms      139.5         74        3.39
    50ms  default    zstd      19873    19873  33.1ms  62.3ms      146.5         44        5.64
